fecha,dia
2018-01-01,3
2018-02-01,2
2018-03-01,1
2018-04-01,2
2018-05-01,11
2018-06-01,5
2018-07-01,4
2018-08-01,15
2018-09-01,13
2018-10-01,11
2018-11-01,9
2018-12-01,7
2019-01-01,24
2019-02-01,8
2019-03-01,7
2019-04-01,15
2019-05-01,4
2019-06-01,4
2019-07-01,10
2019-08-01,8
2019-09-01,13
2019-10-01,13
2019-11-01,9
2019-12-01,3
2020-01-01,2
2020-02-01,11
2020-03-01,10
